SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 14,is,12,671,0.017883756,0,0
Southeast Article 15,but,12,1985,0.00604534,0,0
Southeast Article 2,of,12,700,0.017142857,0,0
Southeast Article 4,and,12,1151,0.010425717,0,0
Southeast Article 5,misinformation,12,885,0.013559322,1.609437912,0.021822887
Southeast Article 5,that,12,885,0.013559322,0,0
Southeast Article 6,for,12,684,0.01754386,0,0
Southeast Article 1,should,11,1932,0.005693582,0.916290732,0.005216976
Southeast Article 1,than,11,1932,0.005693582,0.223143551,0.001270486
Southeast Article 1,they,11,1932,0.005693582,0.143100844,0.000814756
Southeast Article 1,we,11,1932,0.005693582,0,0
Southeast Article 10,be,11,890,0.012359551,0,0
Southeast Article 10,climate,11,890,0.012359551,0,0
Southeast Article 11,tide,11,748,0.014705882,2.708050201,0.039824268
Southeast Article 12,government,11,1147,0.009590235,0.916290732,0.008787444
Southeast Article 12,not,11,1147,0.009590235,0.143100844,0.001372371
Southeast Article 13,change,11,913,0.012048193,0,0
Southeast Article 13,to,11,913,0.012048193,0,0
Southeast Article 2,crisis,11,700,0.015714286,1.32175584,0.020770449
Southeast Article 2,that,11,700,0.015714286,0,0
Southeast Article 4,but,11,1151,0.009556907,0,0
Southeast Article 4,has,11,1151,0.009556907,0.068992871,0.000659358
Southeast Article 5,change,11,885,0.012429379,0,0
Southeast Article 5,for,11,885,0.012429379,0,0
Southeast Article 6,on,11,684,0.016081871,0,0
Southeast Article 7,it,11,1582,0.006953224,0,0
Southeast Article 8,but,11,680,0.016176471,0,0
Southeast Article 8,is,11,680,0.016176471,0,0
Southeast Article 8,more,11,680,0.016176471,0.143100844,0.002314867
Southeast Article 8,that,11,680,0.016176471,0,0
Southeast Article 1,also,10,1932,0.005175983,0.310154928,0.001605357
Southeast Article 1,but,10,1932,0.005175983,0,0
Southeast Article 1,disasters,10,1932,0.005175983,1.609437912,0.008330424
Southeast Article 1,risk,10,1932,0.005175983,1.609437912,0.008330424
Southeast Article 10,a,10,890,0.011235955,0,0
Southeast Article 10,an,10,890,0.011235955,0.143100844,0.001607875
Southeast Article 10,as,10,890,0.011235955,0.143100844,0.001607875
Southeast Article 10,state,10,890,0.011235955,0.510825624,0.005739614
Southeast Article 11,is,10,748,0.013368984,0,0
Southeast Article 12,they,10,1147,0.008718396,0.143100844,0.00124761
Southeast Article 15,by,10,1985,0.005037783,0,0
Southeast Article 15,i,10,1985,0.005037783,0.510825624,0.002573429
Southeast Article 15,ipcc,10,1985,0.005037783,2.708050201,0.01364257
Southeast Article 15,projections,10,1985,0.005037783,2.708050201,0.01364257
Southeast Article 15,such,10,1985,0.005037783,0.762140052,0.003839496
Southeast Article 2,but,10,700,0.014285714,0,0
Southeast Article 4,baker,10,1151,0.008688097,2.708050201,0.023527804
Southeast Article 6,florida,10,684,0.014619883,0.916290732,0.013396063
Southeast Article 6,our,10,684,0.014619883,0.223143551,0.003262333
Southeast Article 7,as,10,1582,0.006321113,0.143100844,0.000904557
