NE_articles,word,n,total,tf,idf,tf_idf
Northeast Article 3,around,5,3434,0.001456028,0.628608659,0.000915272
Northeast Article 3,before,5,3434,0.001456028,0.762140052,0.001109697
Northeast Article 3,between,5,3434,0.001456028,0.916290732,0.001334145
Northeast Article 3,country,5,3434,0.001456028,0.762140052,0.001109697
Northeast Article 3,damages,5,3434,0.001456028,1.609437912,0.002343387
Northeast Article 3,developing,5,3434,0.001456028,0.916290732,0.001334145
Northeast Article 3,family,5,3434,0.001456028,1.609437912,0.002343387
Northeast Article 3,finance,5,3434,0.001456028,1.32175584,0.001924513
Northeast Article 3,government,5,3434,0.001456028,0.762140052,0.001109697
Northeast Article 3,help,5,3434,0.001456028,0.628608659,0.000915272
Northeast Article 3,island,5,3434,0.001456028,1.609437912,0.002343387
Northeast Article 3,much,5,3434,0.001456028,0.405465108,0.000590369
Northeast Article 3,nations,5,3434,0.001456028,0.628608659,0.000915272
Northeast Article 3,nearly,5,3434,0.001456028,1.32175584,0.001924513
Northeast Article 3,other,5,3434,0.001456028,0.310154928,0.000451594
Northeast Article 3,out,5,3434,0.001456028,0.310154928,0.000451594
Northeast Article 3,paris,5,3434,0.001456028,1.32175584,0.001924513
Northeast Article 3,people,5,3434,0.001456028,0.762140052,0.001109697
Northeast Article 3,since,5,3434,0.001456028,0.916290732,0.001334145
Northeast Article 3,storms,5,3434,0.001456028,1.098612289,0.00159961
Northeast Article 3,survive,5,3434,0.001456028,2.014903021,0.002933755
Northeast Article 3,ta,5,3434,0.001456028,2.708050201,0.003942997
Northeast Article 3,time,5,3434,0.001456028,0.405465108,0.000590369
Northeast Article 3,until,5,3434,0.001456028,1.32175584,0.001924513
Northeast Article 3,water,5,3434,0.001456028,0.916290732,0.001334145
Northeast Article 3,which,5,3434,0.001456028,0.310154928,0.000451594
Northeast Article 3,who,5,3434,0.001456028,0.405465108,0.000590369
Northeast Article 3,you,5,3434,0.001456028,1.32175584,0.001924513
Northeast Article 4,in,5,283,0.017667845,0,0
Northeast Article 4,is,5,283,0.017667845,0,0
Northeast Article 4,that,5,283,0.017667845,0,0
Northeast Article 5,an,5,1056,0.004734848,0.068992871,0.000326671
Northeast Article 5,change,5,1056,0.004734848,0,0
Northeast Article 5,climate,5,1056,0.004734848,0,0
Northeast Article 5,coal,5,1056,0.004734848,2.014903021,0.009540261
Northeast Article 5,degrees,5,1056,0.004734848,0.628608659,0.002976367
Northeast Article 5,more,5,1056,0.004734848,0.310154928,0.001468537
Northeast Article 5,most,5,1056,0.004734848,0.762140052,0.003608618
Northeast Article 5,nations,5,1056,0.004734848,0.628608659,0.002976367
Northeast Article 5,over,5,1056,0.004734848,0.310154928,0.001468537
Northeast Article 5,power,5,1056,0.004734848,0.762140052,0.003608618
Northeast Article 5,their,5,1056,0.004734848,0.405465108,0.001919816
Northeast Article 5,up,5,1056,0.004734848,0.510825624,0.002418682
Northeast Article 5,warming,5,1056,0.004734848,0.310154928,0.001468537
Northeast Article 6,it,5,421,0.011876485,0.068992871,0.000819393
Northeast Article 6,its,5,421,0.011876485,0.310154928,0.00368355
Northeast Article 7,by,5,1230,0.004065041,0,0
Northeast Article 7,climate,5,1230,0.004065041,0,0
Northeast Article 7,do,5,1230,0.004065041,0.310154928,0.001260792
Northeast Article 7,hanson,5,1230,0.004065041,2.708050201,0.011008334
Northeast Article 7,he,5,1230,0.004065041,0.628608659,0.00255532
Northeast Article 7,how,5,1230,0.004065041,0.510825624,0.002076527
Northeast Article 7,there,5,1230,0.004065041,0.628608659,0.00255532
Northeast Article 7,they,5,1230,0.004065041,0.223143551,0.000907088
Northeast Article 7,this,5,1230,0.004065041,0.143100844,0.000581711
Northeast Article 8,climate,5,1018,0.004911591,0,0
Northeast Article 8,it,5,1018,0.004911591,0.068992871,0.000338865
Northeast Article 8,there,5,1018,0.004911591,0.628608659,0.003087469
Northeast Article 8,with,5,1018,0.004911591,0,0
Northeast Article 9,community,5,369,0.013550136,1.609437912,0.021808102
Northeast Article 9,smart,5,369,0.013550136,2.708050201,0.036694447
Northeast Article 1,adaptation,4,700,0.005714286,1.609437912,0.009196788
Northeast Article 1,agency,4,700,0.005714286,0.916290732,0.005235947
Northeast Article 1,are,4,700,0.005714286,0.143100844,0.000817719
Northeast Article 1,as,4,700,0.005714286,0.143100844,0.000817719
Northeast Article 1,at,4,700,0.005714286,0.143100844,0.000817719
Northeast Article 1,billion,4,700,0.005714286,1.32175584,0.007552891
Northeast Article 1,britain,4,700,0.005714286,2.014903021,0.011513732
Northeast Article 1,change,4,700,0.005714286,0,0
Northeast Article 1,flood,4,700,0.005714286,1.32175584,0.007552891
Northeast Article 1,floods,4,700,0.005714286,1.098612289,0.006277785
Northeast Article 1,from,4,700,0.005714286,0.068992871,0.000394245
Northeast Article 1,had,4,700,0.005714286,0.916290732,0.005235947
Northeast Article 1,water,4,700,0.005714286,0.916290732,0.005235947
Northeast Article 1,weather,4,700,0.005714286,0.762140052,0.004355086
Northeast Article 10,billion,4,731,0.005471956,1.32175584,0.00723259
Northeast Article 10,by,4,731,0.005471956,0,0
Northeast Article 10,grants,4,731,0.005471956,1.609437912,0.008806774
Northeast Article 10,multilateral,4,731,0.005471956,2.708050201,0.014818332
Northeast Article 10,than,4,731,0.005471956,0.405465108,0.002218687
Northeast Article 10,their,4,731,0.005471956,0.405465108,0.002218687
Northeast Article 10,this,4,731,0.005471956,0.143100844,0.000783042
Northeast Article 11,also,4,1270,0.003149606,0.223143551,0.000702814
Northeast Article 11,between,4,1270,0.003149606,0.916290732,0.002885955
Northeast Article 11,but,4,1270,0.003149606,0.223143551,0.000702814
Northeast Article 11,coronavirus,4,1270,0.003149606,2.708050201,0.008529292
Northeast Article 11,dependent,4,1270,0.003149606,2.708050201,0.008529292
Northeast Article 11,environmental,4,1270,0.003149606,0.916290732,0.002885955
Northeast Article 11,from,4,1270,0.003149606,0.068992871,0.0002173
Northeast Article 11,into,4,1270,0.003149606,0.510825624,0.0016089
Northeast Article 11,it,4,1270,0.003149606,0.068992871,0.0002173
Northeast Article 11,koonjul,4,1270,0.003149606,2.708050201,0.008529292
Northeast Article 11,minister,4,1270,0.003149606,1.609437912,0.005069096
Northeast Article 11,united,4,1270,0.003149606,0.405465108,0.001277055
Northeast Article 11,you,4,1270,0.003149606,1.32175584,0.004163011
Northeast Article 12,___5,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,a.m.the,4,2957,0.001352722,2.708050201,0.00366324
Northeast Article 12,after,4,2957,0.001352722,0.628608659,0.000850333
Northeast Article 12,also,4,2957,0.001352722,0.223143551,0.000301851
Northeast Article 12,before,4,2957,0.001352722,0.762140052,0.001030964
Northeast Article 12,billion,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,can,4,2957,0.001352722,0.223143551,0.000301851
Northeast Article 12,country,4,2957,0.001352722,0.762140052,0.001030964
Northeast Article 12,economic,4,2957,0.001352722,0.762140052,0.001030964
Northeast Article 12,effort,4,2957,0.001352722,1.32175584,0.001787969
Northeast Article 12,emissions,4,2957,0.001352722,0.223143551,0.000301851
