"NE_articles","word","n","total","tf","idf","tf_idf"
"Northeast Article 3","there",9,3434,0.00262085032032615,0.628608659422374,0.00164748920640692
"Northeast Article 3","those",9,3434,0.00262085032032615,0.405465108108164,0.00106266335846636
"Northeast Article 3","what",9,3434,0.00262085032032615,0.628608659422374,0.00164748920640692
"Northeast Article 5","emissions",9,1056,0.00852272727272727,0.22314355131421,0.00190179163051883
"Northeast Article 5","new",9,1056,0.00852272727272727,0.405465108108164,0.00345566853501276
"Northeast Article 5","report",9,1056,0.00852272727272727,0.762140052046897,0.00649551180721787
"Northeast Article 5","would",9,1056,0.00852272727272727,0.510825623765991,0.00435362747527833
"Northeast Article 6","that",9,421,0.0213776722090261,0,0
"Northeast Article 8","pennsylvania",9,1018,0.00884086444007859,2.70805020110221,0.0239415047248722
"Northeast Article 9","climate",9,369,0.024390243902439,0,0
"Northeast Article 1","by",8,700,0.0114285714285714,0,0
"Northeast Article 1","it",8,700,0.0114285714285714,0.0689928714869514,0.000788489959850873
"Northeast Article 1","that",8,700,0.0114285714285714,0,0
"Northeast Article 1","with",8,700,0.0114285714285714,0,0
"Northeast Article 10","climate",8,731,0.0109439124487004,0,0
"Northeast Article 10","countries",8,731,0.0109439124487004,0.762140052046897,0.00834079400324921
"Northeast Article 10","that",8,731,0.0109439124487004,0,0
"Northeast Article 10","world",8,731,0.0109439124487004,0.310154928303839,0.00339430838089017
"Northeast Article 11","an",8,1270,0.0062992125984252,0.0689928714869514,0.000434600765272135
"Northeast Article 11","with",8,1270,0.0062992125984252,0,0
"Northeast Article 12","but",8,2957,0.00270544470747379,0.22314355131421,0.000603702539909935
"Northeast Article 12","more",8,2957,0.00270544470747379,0.310154928303839,0.000839107009276536
"Northeast Article 12","whether",8,2957,0.00270544470747379,1.6094379124341,0.0043542452822025
"Northeast Article 13","about",8,1929,0.00414722654224987,0.310154928303839,0.00128628275087129
"Northeast Article 13","was",8,1929,0.00414722654224987,0.405465108108164,0.00168155565830239
"Northeast Article 14","finance",8,966,0.0082815734989648,1.32175583998232,0.0109462181364995
"Northeast Article 14","management",8,966,0.0082815734989648,1.6094379124341,0.0133286783638435
"Northeast Article 14","risks",8,966,0.0082815734989648,1.32175583998232,0.0109462181364995
"Northeast Article 15","have",8,936,0.00854700854700855,0.0689928714869514,0.000589682662281636
"Northeast Article 2","human",8,1015,0.00788177339901478,1.09861228866811,0.00865901311265505
"Northeast Article 2","it",8,1015,0.00788177339901478,0.0689928714869514,0.000543786179207499
"Northeast Article 2","weather",8,1015,0.00788177339901478,0.762140052046897,0.00600701518854697
"Northeast Article 2","world",8,1015,0.00788177339901478,0.310154928303839,0.00244457086347854
"Northeast Article 3","about",8,3434,0.0023296447291788,0.310154928303839,0.000722550793951868
"Northeast Article 3","an",8,3434,0.0023296447291788,0.0689928714869514,0.000160728879410487
"Northeast Article 3","dorian",8,3434,0.0023296447291788,2.70805020110221,0.00630879487734935
"Northeast Article 3","his",8,3434,0.0023296447291788,0.916290731874155,0.00213463187390601
"Northeast Article 3","hurricane",8,3434,0.0023296447291788,1.32175583998232,0.00307922152587611
"Northeast Article 3","into",8,3434,0.0023296447291788,0.510825623765991,0.00119004222193591
"Northeast Article 3","now",8,3434,0.0023296447291788,0.22314355131421,0.000519845198169388
"Northeast Article 3","one",8,3434,0.0023296447291788,0.405465108108164,0.000944589651970098
"Northeast Article 3","storm",8,3434,0.0023296447291788,1.6094379124341,0.00374941854964263
"Northeast Article 3","while",8,3434,0.0023296447291788,0.22314355131421,0.000519845198169388
